loading annotations into memory...
Done (t=0.12s)
creating index...
index created!
Script running in the background. Check 'ablation.log' for logs.
2024-07-12 14:17:31,267 - INFO - Available GPUs: 8
2024-07-12 14:17:31,301 - INFO - Running experiment: Architecture=unet, Loss=xe, Balance=False, Batch Size=8
2024-07-12 14:17:31,329 - INFO - Running experiment: Architecture=unet, Loss=xe, Balance=False, Batch Size=16
2024-07-12 14:17:31,367 - INFO - Running experiment: Architecture=unet, Loss=xe, Balance=False, Batch Size=32
2024-07-12 14:17:31,393 - INFO - Running experiment: Architecture=unet, Loss=xe, Balance=True, Batch Size=8
2024-07-12 14:17:31,414 - INFO - Running experiment: Architecture=unet, Loss=xe, Balance=True, Batch Size=16
2024-07-12 14:17:31,436 - INFO - Running experiment: Architecture=unet, Loss=xe, Balance=True, Batch Size=32
2024-07-12 14:17:31,455 - INFO - Running experiment: Architecture=unet, Loss=dice, Balance=False, Batch Size=8
2024-07-12 14:17:31,479 - INFO - Running experiment: Architecture=unet, Loss=dice, Balance=False, Batch Size=16
2024-07-12 14:31:00,802 - INFO - Finished Experiment: Architecture=unet, Loss=dice, Balance=False, Batch Size=16
2024-07-12 14:31:00,810 - INFO - Running experiment: Architecture=unet, Loss=dice, Balance=False, Batch Size=32
2024-07-12 14:32:12,633 - INFO - Finished Experiment: Architecture=unet, Loss=dice, Balance=False, Batch Size=8
2024-07-12 14:32:12,640 - INFO - Running experiment: Architecture=unet, Loss=dice, Balance=True, Batch Size=8
2024-07-12 14:33:00,819 - INFO - Finished Experiment: Architecture=unet, Loss=xe, Balance=True, Batch Size=32
2024-07-12 14:33:00,824 - INFO - Running experiment: Architecture=unet, Loss=dice, Balance=True, Batch Size=16
2024-07-12 14:33:18,045 - INFO - Finished Experiment: Architecture=unet, Loss=xe, Balance=False, Batch Size=32
2024-07-12 14:33:18,049 - INFO - Running experiment: Architecture=unet, Loss=dice, Balance=True, Batch Size=32
2024-07-12 14:34:12,096 - INFO - Finished Experiment: Architecture=unet, Loss=xe, Balance=True, Batch Size=16
2024-07-12 14:34:12,111 - INFO - Running experiment: Architecture=unet, Loss=dicebce, Balance=False, Batch Size=8
2024-07-12 14:34:33,311 - INFO - Finished Experiment: Architecture=unet, Loss=xe, Balance=False, Batch Size=16
2024-07-12 14:34:33,335 - INFO - Running experiment: Architecture=unet, Loss=dicebce, Balance=False, Batch Size=16
2024-07-12 14:37:29,226 - INFO - Finished Experiment: Architecture=unet, Loss=xe, Balance=True, Batch Size=8
2024-07-12 14:37:29,231 - INFO - Running experiment: Architecture=unet, Loss=dicebce, Balance=False, Batch Size=32
2024-07-12 14:39:16,775 - INFO - Finished Experiment: Architecture=unet, Loss=xe, Balance=False, Batch Size=8
2024-07-12 14:39:16,804 - INFO - Running experiment: Architecture=unet, Loss=dicebce, Balance=True, Batch Size=8
2024-07-12 14:45:28,082 - INFO - Finished Experiment: Architecture=unet, Loss=dice, Balance=False, Batch Size=32
2024-07-12 14:45:28,085 - INFO - Running experiment: Architecture=unet, Loss=dicebce, Balance=True, Batch Size=16
2024-07-12 14:47:21,126 - INFO - Finished Experiment: Architecture=unet, Loss=dice, Balance=True, Batch Size=8
2024-07-12 14:47:21,128 - INFO - Running experiment: Architecture=unet, Loss=dicebce, Balance=True, Batch Size=32
2024-07-12 14:49:24,545 - INFO - Finished Experiment: Architecture=unet, Loss=dice, Balance=True, Batch Size=16
2024-07-12 14:49:24,549 - INFO - Running experiment: Architecture=nested_unet, Loss=xe, Balance=False, Batch Size=8
